-21,21,-21,21,,,,,,,,,,,,,,,,,,,,,
[run number],spawn-kill,gain-immunity,lambda,end-infection-rate,end-infection-prob,latent-period,network-type,set-state-by,plot-metric,auto-set,infection-prob,infection-rate,min-deg,d,end-latency-rate,model-time,num-nodes,num/frac,set-state-to,time-step,end-latency-prob,[step],count turtles with [removed?],ticks
79,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
80,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
81,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
82,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
83,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
84,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
85,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
86,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
87,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
88,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
89,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
90,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,11,60,11
91,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
92,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
93,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
94,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
95,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
96,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
97,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
98,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
99,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
100,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.99,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
101,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,10,60,10
102,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
103,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
104,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
105,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
106,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
107,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,12,60,12
108,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
